TEXT,X1,Y1,X2,Y2,block_no,line_no,page_no
ifm,59,140,68,148,0,0,1
electronic,70,140,100,148,0,0,1
(Ireland),102,140,128,148,0,0,1
Ltd,130,140,139,148,0,0,1
•,141,140,144,148,0,0,1
Unit,146,140,158,148,0,0,1
"7,",160,140,166,148,0,0,1
Kilcarbery,168,140,199,148,0,0,1
Business,201,140,229,148,0,0,1
Park,231,140,246,148,0,0,1
•,248,140,250,148,0,0,1
New,252,140,266,148,0,0,1
Nangor,268,140,291,148,0,0,1
Road,293,140,309,148,0,0,1
•,311,140,314,148,0,0,1
Clondalkin,59,149,91,156,0,1,1
•,93,149,96,156,0,1,1
Dublin,99,149,119,156,0,1,1
22,121,149,129,156,0,1,1
Please,349,146,370,154,0,2,1
indicate,372,146,397,154,0,2,1
in,398,146,404,154,0,2,1
case,406,146,421,154,0,2,1
of,423,146,428,154,0,2,1
questions:,430,146,462,154,0,2,1
Matt,64,171,85,182,1,0,1
Pender,88,171,121,182,1,0,1
Automation,124,171,180,182,1,0,1
&,182,171,190,182,1,0,1
Controls,192,171,234,182,1,0,1
29050823,433,172,468,181,1,1,1
Invoice,349,172,377,181,1,2,1
no.,379,172,391,181,1,2,1
5077434,433,181,464,190,1,3,1
/,466,181,468,190,1,3,1
D01370_IE,470,181,510,190,1,3,1
Customer,349,181,386,190,1,4,1
no.,389,181,401,190,1,4,1
Killerig,64,183,98,194,1,5,1
MP445,433,191,458,200,1,6,1
dt.,433,201,441,210,1,7,1
15.09.2020,444,201,484,210,1,7,1
Your,349,191,367,200,1,8,1
Reference,369,191,408,200,1,8,1
Carlow,64,195,98,206,1,9,1
15.09.2020,433,221,473,230,2,0,1
Date,349,221,366,230,2,1,1
Accounts,414,256,447,265,3,0,1
ifm,343,256,355,265,3,1,1
department,357,256,401,265,3,1,1
01,414,266,423,275,3,2,1
4613204,425,266,456,275,3,2,1
Tel,343,266,354,275,3,3,1
Number,356,266,386,275,3,3,1
01,414,276,423,284,3,4,1
4573828,425,276,456,284,3,4,1
Fax,343,276,357,284,3,5,1
Number,359,276,389,284,3,5,1
sales.ie@ifm.com,414,285,477,294,3,6,1
e-mail,343,285,366,294,3,7,1
Page,414,306,433,315,4,0,1
1,439,306,444,315,4,1,1
Copy,343,306,362,315,4,2,1
1,384,306,388,315,4,3,1
Matt,130,345,145,354,5,0,1
Pender,147,345,173,354,5,0,1
Automation,175,345,216,354,5,0,1
&,218,345,223,354,5,0,1
Controls,225,345,255,354,5,0,1
Delivery,59,345,90,354,5,1,1
address,92,345,123,354,5,1,1
Ouragh,130,355,156,364,6,0,1
Tullow,130,364,152,373,6,1,1
Carlow,130,374,154,383,6,2,1
R93,130,383,144,392,6,3,1
EV90,146,383,166,392,6,3,1
Total,497,444,515,453,7,0,1
net,518,444,530,453,7,0,1
Unit,437,444,453,453,7,1,1
price,455,444,474,453,7,1,1
Supplied,372,444,406,453,7,2,1
quantity,375,454,406,463,7,3,1
Article,206,444,231,453,7,4,1
no.,234,444,246,453,7,4,1
Article,206,454,231,463,7,5,1
description,234,454,277,463,7,5,1
Order,146,444,167,453,7,6,1
quantity,170,444,201,453,7,6,1
Delivery,78,444,110,453,7,7,1
date,112,444,128,453,7,7,1
Order,78,454,100,463,7,8,1
no.,102,454,114,463,7,8,1
Item,59,444,75,453,7,9,1
EUR,513,463,530,472,8,0,1
EUR,457,463,474,472,8,1,1
Delivery,78,463,110,472,8,2,1
note,112,463,129,472,8,2,1
no.,131,463,143,472,8,2,1
MP445,150,493,175,502,9,0,1
from,150,503,166,512,9,1,1
15.09.2020,168,503,208,512,9,1,1
:,146,493,148,502,9,2,1
Your,78,493,96,502,9,3,1
reference,98,493,134,502,9,3,1
108.18,508,518,533,527,10,0,1
108.18,452,518,477,527,10,1,1
1,391,518,395,527,10,2,1
PC,398,518,409,527,10,2,1
PK6524,206,518,235,527,10,3,1
1,183,518,187,527,10,4,1
PC,190,518,201,527,10,4,1
15.09.2020,78,518,118,527,10,5,1
0010,59,518,76,527,10,6,1
PK-010-RFG14-HCPKG/US/,206,528,308,537,10,7,1
/W,310,528,320,537,10,7,1
104606297,78,528,118,537,10,8,1
90555844,78,538,114,546,10,9,1
:,281,547,283,556,10,10,1
RO,285,547,297,556,10,10,1
Country,206,547,234,556,10,11,1
of,237,547,243,556,10,11,1
origin,246,547,265,556,10,11,1
:,281,557,283,566,10,12,1
90262020,285,557,321,566,10,12,1
Customs,206,557,238,566,10,13,1
tariff,240,557,256,566,10,13,1
number,206,566,234,575,10,14,1
EXPRESS,206,576,244,585,10,15,1
DELIVERY,246,576,286,585,10,15,1
39.00,288,576,308,585,10,15,1
Euros,310,576,331,585,10,15,1
9.86,517,586,533,594,10,16,1
9.86,461,586,477,594,10,17,1
1,391,586,395,594,10,18,1
PC,398,586,409,594,10,18,1
EVC004,206,586,236,594,10,19,1
1,183,586,187,594,10,20,1
PC,190,586,201,594,10,20,1
15.09.2020,78,586,118,594,10,21,1
0020,59,586,76,594,10,22,1
ADOAH040MSS0002H04,206,595,298,604,10,23,1
104606297,78,595,118,604,10,24,1
90555844,78,605,114,614,10,25,1
:,281,614,283,623,10,26,1
PL,285,614,295,623,10,26,1
Country,206,614,234,623,10,27,1
of,237,614,243,623,10,27,1
origin,246,614,265,623,10,27,1
:,281,624,283,633,10,28,1
85444290,285,624,321,633,10,28,1
Customs,206,624,238,633,10,29,1
tariff,240,624,256,633,10,29,1
number,206,634,234,642,10,30,1
39.50,511,662,531,671,11,0,1
Freight,206,662,231,671,11,1,1
and,234,662,247,671,11,1,1
packaging,249,662,286,671,11,1,1
costs,288,662,306,671,11,1,1
Bank,334,728,350,736,12,0,1
of,352,728,358,736,12,0,1
"Ireland,",360,728,383,736,12,0,1
+353,252,728,268,736,12,1,1
1,270,728,274,736,12,1,1
4136066,276,728,303,736,12,1,1
Telephone,175,728,207,736,12,2,1
ifm,59,729,69,737,12,3,1
electronic,71,729,104,737,12,3,1
(Ireland),106,729,134,737,12,3,1
Ltd,135,729,146,737,12,3,1
Rathfarnham,334,737,375,744,12,4,1
"S/centre,",377,737,405,744,12,4,1
Dublin,407,737,427,744,12,4,1
14,429,737,436,744,12,4,1
+353,252,737,268,744,12,5,1
1,270,737,274,744,12,5,1
4613202,276,737,303,744,12,5,1
Telephone,175,737,207,744,12,6,1
(techn.),209,737,233,744,12,6,1
Unit,59,739,71,746,12,7,1
"7,",73,739,79,746,12,7,1
Kilcarbery,81,739,112,746,12,7,1
Business,114,739,142,746,12,7,1
Park,144,739,158,746,12,7,1
A/c,334,753,345,761,13,0,1
No.,347,753,357,761,13,0,1
21574206,359,753,390,761,13,0,1
+353,252,745,268,753,13,1,1
1,270,745,274,753,13,1,1
4573828,276,745,303,753,13,1,1
sales.ie@ifm.com,252,753,306,761,13,2,1
Fax,175,745,187,753,13,3,1
E-mail,175,753,195,761,13,4,1
New,59,748,73,756,13,5,1
Nangor,74,748,97,756,13,5,1
Road,99,748,116,756,13,5,1
Clondalkin,59,758,91,765,13,6,1
Sort,334,762,347,770,13,7,1
Code:,349,762,368,770,13,7,1
90-02-01,370,762,398,770,13,7,1
Dublin,59,767,78,775,13,8,1
D22WT44,80,767,112,775,13,8,1
IBAN:,334,770,353,778,13,9,1
IE64BOFI90020121574206,355,770,440,778,13,9,1
Directors:,175,770,205,778,13,10,1
Ireland,59,776,80,784,13,11,1
S.,175,779,182,786,13,12,1
"Kabir,",184,779,202,786,13,12,1
S.,204,779,210,786,13,12,1
Evans,212,779,232,786,13,12,1
BIC:,334,779,348,786,13,13,1
BOFIIE2D,350,779,382,786,13,13,1
www.ifm.com/ie,59,795,107,803,14,0,1
VAT,175,795,188,803,14,1,1
Reg,190,795,202,803,14,1,1
no:,204,795,214,803,14,1,1
IE6547195V,216,795,255,803,14,1,1
Registered,175,804,209,812,14,2,1
in,211,804,216,812,14,2,1
Ireland,218,804,240,812,14,2,1
No:,242,804,253,812,14,2,1
149795,254,804,278,812,14,2,1
We,59,813,67,819,14,3,1
deliver,69,813,88,819,14,3,1
according,90,813,119,819,14,3,1
to,120,813,126,819,14,3,1
our,128,813,137,819,14,3,1
terms,139,813,155,819,14,3,1
and,157,813,168,819,14,3,1
"conditions,",169,813,201,819,14,3,1
see,203,813,213,819,14,3,1
overleaf.,215,813,239,819,14,3,1
Title,59,819,71,826,14,4,1
