,TEXT,X1,Y1,X2,Y2,block_no,line_no
0,BPX,149,10,163,20,0,0
1,Electromechanical,165,10,222,20,0,0
2,Ltd.,224,10,236,20,0,0
3,t/a,238,10,245,20,0,0
4,BPX,247,10,262,20,0,0
5,Ireland,264,10,287,20,0,0
6,Registered,149,19,183,28,0,1
7,Dublin,185,19,205,28,0,1
8,598929,206,19,230,28,0,1
9,Reg.,149,27,164,37,0,2
10,Office:,166,27,186,37,0,2
11,Clanwilliam,188,27,223,37,0,2
12,"Ct,",225,27,234,37,0,2
13,Dublin,236,27,256,37,0,2
14,2,258,27,262,37,0,2
15,VAT,149,36,162,45,0,3
16,Registration,164,36,202,45,0,3
17,Number,204,36,229,45,0,3
18,3460127WH,231,36,269,45,0,3
19,website:,149,44,175,54,0,4
20,www.bpxireland.ie,177,44,238,54,0,4
21,DOCUMENT,345,15,397,27,1,0
22,TYPE,399,15,423,27,1,0
23,DOCUMENT,478,15,530,27,1,1
24,REFERENCE,532,15,588,27,1,1
25,Invoice,365,30,403,45,2,0
26,I0864363,510,30,556,45,2,1
27,InvoiceDate:,644,12,697,24,3,0
28,08/03/22,737,12,772,24,3,1
29,Branch:,644,26,678,38,4,0
30,N/A,737,26,752,38,4,1
31,Pages:,644,40,673,52,5,0
32,1,737,40,742,52,5,1
33,of,745,40,752,52,5,1
34,1,755,40,760,52,5,1
35,Customer,17,58,59,71,6,0
36,Acc,61,58,78,71,6,0
37,Ref:,80,58,98,71,6,0
38,0000055010,135,58,185,71,6,1
39,Customer,224,58,266,71,6,2
40,Ref:,269,58,286,71,6,2
41,MP1077,293,58,326,71,6,2
42,Advice,431,58,461,71,6,3
43,Note,463,58,483,71,6,3
44,No:,486,58,501,71,6,3
45,E0006244/,543,58,587,71,6,4
46,12,589,58,599,71,6,4
47,Despatch,644,58,684,71,6,5
48,Date:,687,58,709,71,6,5
49,04/03/22,737,58,772,71,6,6
50,Invoice,17,78,48,91,7,0
51,Address:,50,78,89,91,7,0
52,Matt,17,92,34,104,8,0
53,Pender,37,92,66,104,8,0
54,Automation,68,92,114,104,8,0
55,&,116,92,122,104,8,0
56,Controls,125,92,158,104,8,0
57,Ltd.,161,92,176,104,8,0
58,"Ouragh,",17,105,49,118,9,0
59,"Tullow,",17,119,45,131,10,0
60,Carlow,17,133,45,145,11,0
61,Ireland,17,146,44,159,12,0
62,R93,17,160,33,172,13,0
63,EV90,36,160,58,172,13,0
64,Delivery,288,78,323,91,15,0
65,Address:,325,78,364,91,15,0
66,Matt,288,92,305,104,16,0
67,Pender,308,92,337,104,16,0
68,Automation,339,92,385,104,16,0
69,&,387,92,393,104,16,0
70,Controls,396,92,429,104,16,0
71,Ltd.,432,92,447,104,16,0
72,"Ouragh,",288,105,320,118,17,0
73,"Tullow,",288,119,316,131,18,0
74,Carlow,288,133,316,145,19,0
75,Ireland,288,146,315,159,20,0
76,R93,288,160,304,172,21,0
77,EV90,307,160,329,172,21,0
78,All,559,78,571,91,23,0
79,Accounts,573,78,614,91,23,0
80,Queries,617,78,650,91,23,0
81,and,653,78,669,91,23,0
82,Payments,671,78,714,91,23,0
83,to:,716,78,728,91,23,0
84,BPX,559,92,577,104,24,0
85,Ireland,580,92,607,104,24,0
86,Unit,559,105,575,118,25,0
87,"1A,",578,105,591,118,25,0
88,Block,594,105,616,118,25,0
89,513,618,105,633,118,25,0
90,Greenogue,559,119,604,131,26,0
91,Business,607,119,643,131,26,0
92,Park,646,119,664,131,26,0
93,"Rathcoole,",559,133,602,145,27,0
94,Co,605,133,616,145,27,0
95,"Dublin,",619,133,647,145,27,0
96,D24,649,133,666,145,27,0
97,FP98,668,133,690,145,27,0
98,Tel:,559,160,574,172,29,0
99,+353,577,160,597,172,29,0
100,(1),599,160,610,172,29,0
101,553,613,160,628,172,29,0
102,2531,630,160,650,172,29,0
103,/,653,160,655,172,29,0
104,+44,658,160,673,172,29,0
105,1162,676,160,696,172,29,0
106,999,698,160,713,172,29,0
107,100,716,160,731,172,29,0
108,Email:,559,174,584,186,30,0
109,accounts@bpxireland.ie,587,174,683,186,30,0
110,We,22,574,35,587,32,0
111,would,38,574,61,587,32,0
112,draw,63,574,83,587,32,0
113,your,85,574,102,587,32,0
114,attention,105,574,139,587,32,0
115,to,141,574,149,587,32,0
116,our,151,574,164,587,32,0
117,'CONDITIONS,166,574,224,587,32,0
118,OF,226,574,238,587,32,0
119,SALE',241,574,265,587,32,0
120,which,268,574,290,587,32,0
121,can,293,574,307,587,32,0
122,be,309,574,319,587,32,0
123,downloaded,322,574,369,587,32,0
124,at,372,574,379,587,32,0
125,"www.bpxireland.ie/cos.Alternatively,",382,574,523,587,32,0
126,you,525,574,540,587,32,0
127,may,542,574,559,587,32,0
128,request,561,574,591,587,32,0
129,a,593,574,598,587,32,0
130,copy,601,574,619,587,32,0
131,from,622,574,639,587,32,0
132,your,642,574,659,587,32,0
133,local,662,574,680,587,32,0
134,branch.,682,574,712,587,32,0
135,Product,17,199,51,211,33,0
136,Code,53,199,76,211,33,0
137,Your,135,199,156,211,33,1
138,Part,158,199,176,211,33,1
139,Description,237,199,287,211,33,2
140,Invoice,532,199,563,211,33,3
141,Qty,565,199,580,211,33,3
142,Unit,592,199,609,211,33,4
143,Price,612,199,634,211,33,4
144,Price,650,199,672,211,33,5
145,Per,674,199,689,211,33,5
146,Disc%,706,199,733,211,33,6
147,NETT,747,199,770,211,33,7
148,Price,773,199,795,211,33,7
149,EURO,797,199,823,211,33,7
150,1562170000,17,212,67,225,34,0
151,Weidmuller,237,212,282,225,34,1
152,WPD105,285,212,321,225,34,1
153,Power,323,212,349,225,34,1
154,Ditribtion,351,212,387,225,34,1
155,Block,389,212,411,225,34,1
156,125A,414,212,435,225,34,1
157,8,554,212,559,225,34,2
158,21.97,601,212,624,225,34,3
159,Each,659,212,679,225,34,4
160,20.00,709,212,731,225,34,5
161,140.61,771,212,799,225,34,6
162,Comments,17,486,63,498,54,0
163,/,66,486,68,498,54,0
164,Special,71,486,102,498,54,0
165,Instructions,105,486,156,498,54,0
166,VAT,446,486,464,498,56,0
167,Goods,496,486,524,498,56,1
