,TEXT,X1,Y1,X2,Y2,block_no,line_no,page_no
0,DEMESNE,19,20,78,38,0,1,1
1,ELECTRICAL,81,20,156,38,0,1,1
2,SALES,159,20,197,38,0,1,1
3,LTD,200,20,224,38,0,1,1
4,INVOICE,488,20,559,42,0,0,1
5,THE,19,37,34,48,0,2,1
6,SQUARE,36,37,66,48,0,2,1
7,INDUSTRIAL,68,37,113,48,0,2,1
8,COMPLEX,116,37,150,48,0,2,1
9,TALLAGHT,19,48,57,59,0,3,1
10,DUBLIN,19,58,47,69,0,4,1
11,24,49,58,58,69,0,4,1
12,D24,19,69,33,80,24,0,1
13,ED71,36,69,55,80,24,0,1
14,Products,212,75,243,86,16,0,1
15,remain,245,75,270,86,16,0,1
16,the,272,75,284,86,16,0,1
17,property,286,75,316,86,16,0,1
18,of,318,75,325,86,16,0,1
19,Demesne,328,75,361,86,16,0,1
20,Electrical,363,75,394,86,16,0,1
21,Sales,397,75,415,86,16,0,1
22,until,418,75,433,86,16,0,1
23,such,435,75,452,86,16,0,1
24,time,454,75,469,86,16,0,1
25,as,472,75,480,86,16,0,1
26,all,482,75,490,86,16,0,1
27,invoices,492,75,520,86,16,0,1
28,paid,523,75,538,86,16,0,1
29,in,540,75,546,86,16,0,1
30,full,549,75,559,86,16,0,1
31,Phone,20,87,42,98,1,0,1
32,01-4047700,77,87,120,98,2,0,1
33,Fax,19,95,31,110,1,1,1
34,01-4047777,77,95,120,110,2,1,1
35,Invoice,380,95,410,106,12,0,1
36,Number,412,95,444,106,12,0,1
37,1112873,524,95,554,106,13,0,1
38,Account,380,104,412,115,12,1,1
39,Number,415,104,447,115,12,1,1
40,2692,537,104,554,115,14,0,1
41,Email,19,110,38,121,25,1,1
42,sales@demesne.ie,77,110,143,121,25,2,1
43,www.demesne.ie,18,117,93,133,25,0,1
44,Invoice,380,117,410,128,20,0,1
45,Date,412,117,431,128,20,0,1
46,12/04/2022,513,117,554,128,20,1,1
47,Placed,380,131,406,142,21,0,1
48,By,409,131,419,142,21,0,1
49,Invoice,20,138,50,149,3,0,1
50,To,52,138,62,149,3,0,1
51,Order,380,144,403,155,7,0,1
52,Number,405,144,437,155,7,0,1
53,SOD1186,521,144,554,155,10,0,1
54,Matt,65,154,80,165,4,0,1
55,Pender,83,154,107,165,4,0,1
56,Automation,110,154,150,165,4,0,1
57,&,153,154,158,165,4,0,1
58,Controls,161,154,190,165,4,0,1
59,Ltd,192,154,203,165,4,0,1
60,Your,380,154,399,169,26,0,1
61,VAT,401,154,417,169,26,0,1
62,Reg,419,154,435,169,26,0,1
63,R93EV90,65,165,96,176,4,1,1
64,Ouragh,65,175,91,186,4,2,1
65,Tullow,65,186,88,197,4,3,1
66,Co.,65,196,76,207,4,4,1
67,Carlow,79,196,103,207,4,4,1
68,Deliver,29,231,57,242,5,0,1
69,To,60,231,70,242,5,0,1
70,Delivery,380,239,413,250,8,0,1
71,Date,415,239,434,250,8,0,1
72,07/04/2022,513,239,554,250,11,0,1
73,R93EV90,28,246,60,257,6,0,1
74,Delivery,380,253,413,264,9,0,1
75,By,415,253,426,264,9,0,1
76,Ouragh,28,260,54,271,17,0,1
77,Sales,380,267,401,278,22,0,1
78,Order,403,267,426,278,22,0,1
79,Number,429,267,461,278,22,0,1
80,1032184,524,267,554,278,22,1,1
81,Tullow,28,273,51,284,18,0,1
82,Sales,380,280,401,291,23,0,1
83,Person,403,280,431,291,23,0,1
84,Barry,501,280,519,291,23,1,1
85,O'Connor,522,280,554,291,23,1,1
86,Co.,28,287,39,298,19,0,1
87,Carlow,42,287,66,298,19,0,1
88,Quantity,22,328,57,339,15,0,1
89,Part,80,328,97,340,15,1,1
90,Number,100,328,132,340,15,1,1
91,Description,187,328,233,339,15,2,1
92,Unit,405,328,422,339,15,3,1
93,Price,424,328,445,339,15,3,1
94,Amount,518,328,550,339,15,4,1
95,50,46,349,55,360,27,0,1
96,3551,82,349,99,361,27,1,1
97,Baldi,188,349,205,360,27,2,1
98,Insulators,208,349,243,360,27,2,1
99,32Mm,246,349,267,360,27,2,1
100,X,270,349,274,360,27,2,1
101,35Mm,277,349,299,360,27,2,1
102,X,301,349,306,360,27,2,1
103,3.68539,418,349,447,360,28,0,1
104,30.00%,476,349,504,360,28,2,1
105,128.99,529,349,554,360,28,1,1
106,8Mm,188,359,206,370,27,3,1
107,50,46,364,55,375,29,0,1
108,3569,82,364,99,376,29,1,1
109,Insulators,188,364,224,375,29,2,1
110,32Mm,226,364,248,375,29,2,1
111,X,250,364,255,375,29,2,1
112,35Mm,258,364,279,375,29,2,1
113,X,282,364,287,375,29,2,1
114,10Mm,289,364,311,375,29,2,1
115,3.73504,418,364,447,375,29,3,1
116,30.00%,476,364,504,375,29,5,1
117,130.72,529,364,554,375,29,4,1
118,25,46,379,55,390,30,0,1
119,4054,82,379,99,391,30,1,1
120,Baldi,188,379,205,390,30,2,1
121,Insulators,208,379,243,390,30,2,1
